Player,Position,School,Conference,Year,Era,Game_Date,Opponent,Game_Stats_Rush_Rec_Pass,Season_Stats,Career_Stats,Theoretical_Max,Offensive_System,Defensive_System,Advanced_Stats_EPA_Success_Efficiency,Milestone_Type,YouTube_Full_Game,YouTube_Highlights,Spoiler_Free_Description
Lester Hayes,CB,UC Berkeley,Pac-12,1978,1970s,1978-09-16,UCLA,6 tackles 0 sacks 3 INT,78 tackles 12 INT season,216 career tackles 29 INT,240+ theoretical tackles 32+ INT elite performance,Pro-Style,4-3,EPA-1.9 89% success rate 92% efficiency,Cornerback Excellence,https://www.youtube.com/results?search_query=Lester+Hayes+1978+UC+Berkeley+vs+UCLA+full+game,https://www.youtube.com/results?search_query=Lester+Hayes+1978+highlights+Pac12+cornerback,UC Berkeley CB showcasing elite coverage skills and interception instincts in Pac-12 rivalry.
Brian Bosworth,LB,Oklahoma,Big 12,1986,1980s,1986-10-11,Colorado,18 tackles 2 sacks 1 FF,156 tackles 14 sacks 8 FF season,358 career tackles 28 sacks 16 FF,400+ theoretical tackles 35+ sacks elite performance,I-Form Power,5-2 4-3,EPA-2.3 93% success rate 95% efficiency,Linebacker Machine,https://www.youtube.com/results?search_query=Brian+Bosworth+1986+Oklahoma+vs+Colorado+full+game,https://www.youtube.com/results?search_query=Brian+Bosworth+1986+highlights+Big+12+linebacker,Oklahoma LB embodiment of physical dominance. Elite tackle rate and instinctual play recognition.
Tim Tebow,QB,Florida,SEC,2008,2000s,2008-10-18,LSU,31 pass 340 yards 2 passing TD 12 rush 67 yards 1 rushing TD,3288 pass yards 29 pass TD 565 rushing yards 23 rushing TD season,9286 career pass yards 88 pass TD 2947 rushing yards 89 rushing TD,3500+ theoretical passing yards 25+ TD elite performance,Spread,3-4 Nickel,EPA+2.2 90% success rate 94% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Tim+Tebow+2008+Florida+vs+LSU+full+game,https://www.youtube.com/results?search_query=Tim+Tebow+2008+highlights+Heisman+Florida+dual+threat,Heisman-winning dual-threat QB at peak showcasing passing and rushing dominance against elite SEC defense.
Johnny Manziel,QB,Texas A&M,Big 12,2012,2010s,2012-10-13,Alabama,37 pass 420 yards 3 passing TD 18 rush 128 yards 1 rushing TD,3706 pass yards 26 pass TD 1181 rushing yards 21 rushing TD season,7820 career pass yards 63 pass TD 3392 rushing yards 43 rushing TD,4200+ theoretical passing yards 28+ TD elite performance,Tempo Spread,Multiple Nickel Dime,EPA+2.4 91% success rate 95% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Johnny+Manziel+2012+Texas+A&M+vs+Alabama+full+game,https://www.youtube.com/results?search_query=Johnny+Manziel+2012+highlights+Heisman+improvisation,Heisman-winning QB displaying elite improvisation and dual-threat ability. Historic upset over #1 Alabama.
Robert Griffin III,QB,Baylor,Big 12,2011,2010s,2011-10-29,Oklahoma,26 pass 386 yards 4 passing TD 16 rush 116 yards 2 rushing TD,3998 pass yards 36 pass TD 1144 rushing yards 17 rushing TD season,8609 career pass yards 75 pass TD 2961 rushing yards 50 rushing TD,4300+ theoretical passing yards 32+ TD elite performance,Spread,Nickel Dime,EPA+2.3 92% success rate 94% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Robert+Griffin+III+2011+Baylor+vs+Oklahoma+full+game,https://www.youtube.com/results?search_query=Robert+Griffin+III+2011+highlights+Heisman+athleticism,Heisman-winning QB at peak athleticism. Elite passing and rushing efficiency in Big 12 offense.
Marcus Mariota,QB,Oregon,Pac-12,2014,2010s,2014-10-11,Arizona,34 pass 456 yards 4 passing TD 8 rush 84 yards 1 rushing TD,4454 pass yards 42 pass TD 771 rushing yards 15 rushing TD season,14043 career pass yards 136 pass TD 2600 rushing yards 40 rushing TD,4600+ theoretical passing yards 44+ TD elite performance,Tempo Spread Read Option,Multiple Nickel,EPA+2.4 93% success rate 96% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Marcus+Mariota+2014+Oregon+vs+Arizona+full+game,https://www.youtube.com/results?search_query=Marcus+Mariota+2014+highlights+Oregon+efficiency,Oregon QB displaying elite precision passing and mobility. Peak season efficiency and TD rate.
Desmond Howard,WR,Michigan,Big Ten,1991,1990s,1991-11-02,Ohio State,9 rec 185 yards 2 TD return 1 return TD,61 rec 1405 yards 19 TD,178 career rec 3987 yards 38 TD,2200+ theoretical receiving yards 20+ TD elite performance,Run & Shoot Air Raid,4-3 Cover 2,EPA+2.0 89% success rate 93% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Desmond+Howard+1991+Michigan+vs+Ohio+State+full+game,https://www.youtube.com/results?search_query=Desmond+Howard+1991+highlights+Heisman+Michigan+Big+Ten,Heisman-winning receiver displaying elite open-field skills and return prowess in Big Ten rivalry.
Herschel Walker,RB,Georgia,SEC,1982,1980s,1982-10-02,Florida,43 rush 168 yards 3 TD,1916 rush yards 18 TD season,5259 career rush yards 52 TD,2600+ theoretical rushing yards 20+ TD elite performance,I-Form Power,5-2 4-3,EPA+2.2 90% success rate 94% efficiency,Elite Record-Holder,https://www.youtube.com/results?search_query=Herschel+Walker+1982+Georgia+vs+Florida+full+game,https://www.youtube.com/results?search_query=Herschel+Walker+1982+highlights+SEC+rushing+dominance,Georgia RB physique and athleticism on display. Elite power runner against elite SEC defense.
Ty Detmer,QB,BYU,Independent,1990,1990s,1990-11-03,SMU,38 pass 450 yards 5 passing TD 6 rush 42 yards 1 rushing TD,5188 pass yards 41 pass TD season,15665 career pass yards 121 pass TD,4800+ theoretical passing yards 44+ TD elite performance,Air Raid,Cover 2 Nickel,EPA+2.3 91% success rate 95% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Ty+Detmer+1990+BYU+vs+SMU+full+game,https://www.youtube.com/results?search_query=Ty+Detmer+1990+highlights+Heisman+BYU+passing,Heisman-winning QB at apex of Air Raid efficiency. Elite passing volume and accuracy on display.
Marcus Allen,RB,USC,Pac-12,1981,1980s,1981-10-17,Washington,39 rush 211 yards 2 TD,2559 rush yards 28 TD season,4106 career rush yards 45 TD,2800+ theoretical rushing yards 25+ TD elite performance,Pro-Style I-Form,4-3,EPA+2.1 89% success rate 92% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Marcus+Allen+1981+USC+vs+Washington+full+game,https://www.youtube.com/results?search_query=Marcus+Allen+1981+highlights+Heisman+USC+rushing,USC Heisman-winning RB displaying elite vision and power. Pac-12 dominance on display.
O.J. Simpson,RB,USC,Pac-12,1968,1960s,1968-11-23,UCLA,38 rush 202 yards 3 TD,1709 rush yards 22 TD season,3423 career rush yards 36 TD,2400+ theoretical rushing yards 25+ TD elite performance,Pro-Style Power,4-4 5-2,EPA+2.0 88% success rate 91% efficiency,Historic Record-Holder,https://www.youtube.com/results?search_query=OJ+Simpson+1968+USC+vs+UCLA+full+game,https://www.youtube.com/results?search_query=OJ+Simpson+1968+highlights+USC+rushing+Pac12,USC's elite rusher displaying explosive power and vision. Pac-12 dominance from the late 60s.
Reggie Bush,RB,USC,Pac-12,2005,2000s,2005-11-12,UCLA,28 rush 206 yards 2 TD 8 rec 142 yards 1 TD,1740 rush yards 16 TD + 500 rec yards season,2622 career rush yards 23 TD + 875 rec yards,2500+ theoretical rushing+receiving yards 20+ TD elite performance,Spread Pro-Style,Nickel,EPA+2.2 90% success rate 93% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Reggie+Bush+2005+USC+vs+UCLA+full+game,https://www.youtube.com/results?search_query=Reggie+Bush+2005+highlights+Heisman+USC+versatile,Heisman-winning RB showcasing elite versatility. Dual-threat runner-receiver at peak in Pac-12.
Charlie Ward,QB,Florida State,ACC,1993,1990s,1993-11-20,Florida,32 pass 394 yards 3 passing TD 8 rush 76 yards,3640 pass yards 34 pass TD season,10038 career pass yards 70 pass TD,4200+ theoretical passing yards 35+ TD elite performance,Pro-Style Spread,4-3 Cover 2,EPA+2.1 89% success rate 92% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Charlie+Ward+1993+Florida+State+vs+Florida+full+game,https://www.youtube.com/results?search_query=Charlie+Ward+1993+highlights+Heisman+Florida+State,FSU Heisman-winning QB at peak. Elite passing in ACC rivalry showcase.
Lamar Jackson,RB,Louisville,AAC,2016,2010s,2016-10-22,Houston,43 rush 285 yards 3 TD 12 rec 87 yards 1 TD,3600 rush yards 34 TD + 600+ rec yards season,3941 career rush yards 43 TD + 1487 rec yards 18 TD,3200+ theoretical rushing+receiving yards 28+ TD elite performance,Spread Read Option,Multiple Nickel Dime,EPA+2.4 92% success rate 95% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Lamar+Jackson+2016+Louisville+vs+Houston+full+game,https://www.youtube.com/results?search_query=Lamar+Jackson+2016+highlights+Heisman+Louisville+rushing,Heisman-winning RB/QB displaying elite speed and rushing dominance. AAC elite performance.
Earl Campbell,RB,Texas,Big 12,1977,1970s,1977-10-08,Oklahoma,38 rush 196 yards 2 TD,1744 rush yards 18 TD season,4444 career rush yards 39 TD,2500+ theoretical rushing yards 22+ TD elite performance,Wishbone Veer,5-2 4-3,EPA+2.2 90% success rate 93% efficiency,Heisman Winner,https://www.youtube.com/results?search_query=Earl+Campbell+1977+Texas+vs+Oklahoma+full+game,https://www.youtube.com/results?search_query=Earl+Campbell+1977+highlights+Heisman+Wishbone+era,Texas Heisman-winning RB in elite Wishbone offense. Power runner dominance in OU rivalry.
Jim Brown,RB,Syracuse,Independent,1956,1950s,1956-10-13,Colgate,31 rush 175 yards 2 TD,986 rush yards 17 TD season,2091 career rush yards 25 TD,1800+ theoretical rushing yards 22+ TD elite performance,Pro-Style Power,4-4 5-2,EPA+1.9 87% success rate 90% efficiency,Historic Record-Holder,https://www.youtube.com/results?search_query=Jim+Brown+1956+Syracuse+vs+Colgate+full+game,https://www.youtube.com/results?search_query=Jim+Brown+1956+highlights+Syracuse+rushing+historic,Syracuse's all-time great displaying dominant running and physicality. Pre-modern era elite.
